Gene name	3' UTR start	3' UTR end	mean_utr_len	max_utr_len	median_utr_len	auto_reg
ABO	133255448.66666667	133255763.0	314.3333333333333	489.0	227.0	not_in_net
ABR	1016914.2115384615	1017318.6346153846	404.4230769230769	2561.0	120.0	not_in_net
ABRA	106759483.0	106761036.0	1553.0	1553.0	1553.0	not_in_net
ABRACL	139038634.5	139038939.0	304.5	398.0	304.5	not_in_net
ABRAXAS1	83470028.5	83470585.21428572	556.7142857142857	2951.0	133.0	not_in_net
ABRAXAS2	124834972.0	124836667.0	1695.0	1695.0	1695.0	not_in_net
ABT1	26598646.0	26600739.0	2093.0	2093.0	2093.0	not_in_net
ABTB1	127678128.70588236	127678357.52941176	228.8235294117647	651.0	159.0	not_in_net
ABTB2	34150987.0	34152386.0	1399.0	1399.0	1399.0	not_in_net
AC000093.1	19723169.5	19724036.5	867.0	1094.0	1006.0	not_in_net
AC001226.2	77094121.16666667	77094983.0	861.8333333333334	2416.0	540.5	not_in_net
AC002094.3	28364541.5	28364742.5	201.0	360.0	201.0	not_in_net
AC002310.4	30529101.0	30529274.5	173.5	219.0	173.5	not_in_net
AC002985.1	18919625.888888888	18919709.444444444	83.55555555555556	100.0	86.0	not_in_net
AC003002.2	57438155.0	57438457.0	302.0	302.0	302.0	not_in_net
AC003005.1	57508172.333333336	57508510.5	338.1666666666667	1505.0	109.0	not_in_net
AC003688.1	7247056.666666667	7247119.333333333	62.666666666666664	118.0	37.0	not_in_net
AC003688.3	7247056.666666667	7247119.333333333	62.666666666666664	118.0	37.0	not_in_net
AC004076.1	57437970.0	57438040.0	70.0	70.0	70.0	not_in_net
AC004080.3	27163535.0	27163602.0	67.0	67.0	67.0	not_in_net
AC004223.3	35011349.0	35011967.0	618.0	618.0	618.0	not_in_net
AC004556.3	11616.0	11802.0	186.0	186.0	186.0	not_in_net
AC004593.3	29512736.0	29514667.0	1931.0	1931.0	1931.0	not_in_net
AC004687.2	58347800.0	58348096.0	296.0	1107.0	89.0	not_in_net
AC004691.2	30923630.0	30923812.0	182.0	182.0	182.0	not_in_net
AC004706.3	6633176.0	6633563.666666667	387.6666666666667	881.0	160.0	not_in_net
AC004805.1	65564558.8	65564853.2	294.4	930.0	140.0	not_in_net
AC004832.3	30425503.0	30425842.5	339.5	528.0	355.5	not_in_net
AC004922.1	99365812.84615384	99365936.76923077	123.92307692307692	222.0	107.0	not_in_net
AC004997.1	30286515.75862069	30286685.689655174	169.93103448275863	450.0	126.0	not_in_net
AC005020.2	99606324.66666667	99606433.33333333	108.66666666666667	146.0	137.0	not_in_net
AC005041.1	74400971.5	74403454.0	2482.5	4865.0	2482.5	not_in_net
AC005154.5	30497077.0	30497091.0	14.0	14.0	14.0	not_in_net
AC005258.1	2339364.8333333335	2339497.3333333335	132.5	274.0	117.5	not_in_net
AC005324.3	15571491.0	15574098.0	2607.0	2607.0	2607.0	not_in_net
AC005324.4	15736515.88235294	15736678.235294119	162.35294117647058	903.0	94.0	not_in_net
AC005520.1	73908781.23076923	73908983.15384616	201.92307692307693	775.0	150.0	not_in_net
AC005670.2	47033135.333333336	47033177.666666664	42.333333333333336	71.0	48.0	not_in_net
AC005697.1	27798806.0	27798840.0	34.0	34.0	34.0	not_in_net
AC005702.1	59969627.0	59969784.0	157.0	266.0	157.0	not_in_net
AC005726.1	28591135.444444444	28591492.888888888	357.44444444444446	1164.0	121.0	not_in_net
AC005832.4	4653294.666666667	4653404.166666667	109.5	170.0	103.5	not_in_net
AC005833.1	4745705.5	4746230.75	525.25	1586.0	225.5	not_in_net
AC005837.2	76738347.0	76738522.0	175.0	175.0	175.0	not_in_net
AC005943.1	1585176.6666666667	1585308.1666666667	131.5	199.0	148.0	not_in_net
AC006030.1	74262582.6	74262709.68571429	127.08571428571429	271.0	133.0	not_in_net
AC006059.2	42740352.666666664	42741508.0	1155.3333333333333	3223.0	206.0	not_in_net
AC006064.6	6564998.029411765	6565163.411764706	165.38235294117646	756.0	134.5	not_in_net
AC006254.1	52823315.61904762	52823532.14285714	216.52380952380952	1938.0	139.0	not_in_net
AC006518.7	10881614.0	10881645.0	31.0	45.0	31.0	not_in_net
AC006978.2	30388174.75	30388331.5	156.75	260.0	173.0	not_in_net
AC007040.2	70945028.33333333	70946118.0	1089.6666666666667	2996.0	142.0	not_in_net
AC007192.1	18174686.9	18174925.4	238.5	1199.0	136.0	not_in_net
AC007244.1	19076946.0	19077196.0	250.0	250.0	250.0	not_in_net
AC007325.1	74125.0	74814.0	689.0	689.0	689.0	not_in_net
AC007325.2	138082.0	138479.0	397.0	397.0	397.0	not_in_net
AC007325.4	136995.0	137392.0	397.0	397.0	397.0	not_in_net
AC007326.4	18943247.0	18943740.5	493.5	941.0	493.5	not_in_net
AC007375.2	77220941.75	77221022.25	80.5	124.0	80.0	not_in_net
AC007731.4	20429734.0	20429845.0	111.0	117.0	112.0	not_in_net
AC007906.2	53042745.0	53043999.0	1254.0	1254.0	1254.0	not_in_net
AC007998.2	35443871.0	35443887.0	16.0	16.0	16.0	not_in_net
AC008012.1	4357314.25	4357615.5	301.25	1361.0	121.0	not_in_net
AC008073.3	24179167.875	24179361.0	193.125	730.0	128.0	not_in_net
AC008162.2	120878132.5	120878214.5	82.0	134.0	82.0	not_in_net
AC008393.2	179837447.0	179838931.0	1484.0	1484.0	1484.0	not_in_net
AC008397.1	18250039.0	18250129.0	90.0	90.0	90.0	not_in_net
AC008397.2	18207961.0	18210928.0	2967.0	2967.0	2967.0	not_in_net
AC008481.3	11466424.0	11466503.5	79.5	124.0	79.5	not_in_net
AC008537.1	40894684.666666664	40894808.666666664	124.0	148.0	144.0	not_in_net
AC008575.1	112864754.75	112864856.25	101.5	178.0	91.0	not_in_net
AC008581.2	77140517.66666667	77140657.33333333	139.66666666666666	263.0	84.0	not_in_net
AC008676.3	157341596.0	157342861.0	1265.0	1265.0	1265.0	not_in_net
AC008687.4	49017496.0	49017967.0	471.0	471.0	471.0	not_in_net
AC008687.8	49056936.333333336	49057276.666666664	340.3333333333333	802.0	144.0	not_in_net
AC008695.1	131425891.0	131427265.0	1374.0	1374.0	1374.0	not_in_net
AC008750.8	51352551.666666664	51352657.333333336	105.66666666666667	158.0	141.0	not_in_net
AC008758.1	12461559.0	12463995.0	2436.0	2436.0	2436.0	not_in_net
AC008758.6	12445267.0	12445359.0	92.0	94.0	92.0	not_in_net
AC008763.2	7639649.25	7639730.875	81.625	148.0	80.5	not_in_net
AC008763.3	7682490.0	7682854.0	364.0	364.0	364.0	not_in_net
AC008764.1	16507503.625	16507630.375	126.75	207.0	119.0	not_in_net
AC008764.4	16601392.235294119	16601502.823529411	110.58823529411765	663.0	74.0	not_in_net
AC008770.1	12018027.0	12018098.5	71.5	95.0	71.5	not_in_net
AC008770.2	11970583.444444444	11970744.333333334	160.88888888888889	365.0	137.0	not_in_net
AC008770.4	12077122.0	12078106.0	984.0	984.0	984.0	not_in_net
AC008878.1	7519289.0	7519526.0	237.0	237.0	237.0	not_in_net
AC008878.2	7535676.444444444	7535770.0	93.55555555555556	152.0	82.0	not_in_net
AC009070.1	80834924.8888889	80835511.77777778	586.8888888888889	2004.0	113.0	not_in_net
AC009133.6	29817783.333333332	29818130.333333332	347.0	537.0	422.0	not_in_net
AC009163.3	75531065.66666667	75531715.33333333	649.6666666666666	1805.0	80.0	not_in_net
AC009412.1	6329412.0	6330374.0	962.0	962.0	962.0	not_in_net
AC009690.1	72295237.36363636	72295571.0	333.6363636363636	1615.0	143.0	not_in_net
AC009690.3	72273120.25	72273215.25	95.0	196.0	78.5	not_in_net
AC009779.3	55721743.166666664	55722463.833333336	720.6666666666666	2996.0	200.0	not_in_net
AC009879.3	66480256.84615385	66480566.84615385	310.0	2631.0	105.0	not_in_net
AC010132.3	42917042.71428572	42917438.85714286	396.14285714285717	1648.0	93.0	not_in_net
AC010197.2	21562378.9375	21562557.0	178.0625	972.0	121.0	not_in_net
AC010255.3	122181256.0	122182005.0	749.0	1306.0	749.0	not_in_net
AC010323.1	8309847.5	8309955.0	107.5	123.0	107.5	not_in_net
AC010325.1	50783335.25	50783474.75	139.5	325.0	82.5	not_in_net
AC010326.2	57882766.0	57883007.0	241.0	277.0	241.0	not_in_net
AC010327.2	55156434.6	55156525.2	90.6	131.0	78.0	not_in_net
AC010422.3	12645162.0	12645282.5	120.5	126.0	120.5	not_in_net
AC010422.6	12540024.5	12541365.0	1340.5	2980.0	1161.0	not_in_net
AC010422.8	12674434.333333334	12674811.916666666	377.5833333333333	3247.0	104.0	not_in_net
AC010463.1	17278094.25	17278187.875	93.625	147.0	94.0	not_in_net
AC010522.1	57857823.666666664	57857928.333333336	104.66666666666667	140.0	109.0	not_in_net
AC010531.1	87304297.5	87304416.5	119.0	199.0	119.0	not_in_net
AC010542.3	66476138.5	66476257.75	119.25	218.0	124.5	not_in_net
AC010547.4	71456222.84615384	71456725.0	502.15384615384613	2285.0	107.0	not_in_net
AC010615.4	21490453.333333332	21490516.666666668	63.333333333333336	111.0	57.0	not_in_net
AC010616.1	41957967.0	41958081.666666664	114.66666666666667	192.0	97.0	not_in_net
AC010619.1	49475070.0	49475221.666666664	151.66666666666666	267.0	119.0	not_in_net
AC011005.1	129130749.0	129130793.0	44.0	44.0	44.0	not_in_net
AC011043.1	42939.0	44723.0	1784.0	1784.0	1784.0	not_in_net
AC011043.2	178364.0	179372.0	1008.0	1008.0	1008.0	not_in_net
AC011195.2	58660424.0	58660576.0	152.0	152.0	152.0	not_in_net
AC011295.2	82403250.0	82403339.0	89.0	89.0	89.0	not_in_net
AC011330.3	43616642.5	43616831.75	189.25	785.0	112.5	not_in_net
AC011448.1	19535811.0	19536076.0	265.0	265.0	265.0	not_in_net
AC011452.1	49930696.0	49930925.5	229.5	383.0	229.5	not_in_net
AC011455.2	38915404.0	38915605.0	201.0	201.0	201.0	not_in_net
AC011455.3	38915440.0	38915641.0	201.0	201.0	201.0	not_in_net
AC011462.1	41424609.0	41425001.0	392.0	392.0	392.0	not_in_net
AC011473.4	51000190.14285714	51000464.428571425	274.2857142857143	702.0	133.0	not_in_net
AC011476.10	54946028.0	54946229.666666664	201.66666666666666	207.0	199.0	not_in_net
AC011476.11	54920577.0	54920778.666666664	201.66666666666666	207.0	199.0	not_in_net
AC011476.4	54918491.0	54918692.666666664	201.66666666666666	207.0	199.0	not_in_net
AC011476.5	54856870.0	54857071.666666664	201.66666666666666	207.0	199.0	not_in_net
AC011476.6	54650666.0	54650867.666666664	201.66666666666666	207.0	199.0	not_in_net
AC011476.9	54841903.0	54842104.666666664	201.66666666666666	207.0	199.0	not_in_net
AC011479.1	38304765.0	38304797.75	32.75	65.0	32.5	not_in_net
AC011498.4	4530027.0	4530773.0	746.0	1439.0	746.0	not_in_net
AC011499.1	5784005.0	5784351.0	346.0	346.0	346.0	not_in_net
AC011511.1	10308167.285714285	10308382.57142857	215.28571428571428	726.0	106.0	not_in_net
AC011511.4	10315857.25	10316200.25	343.0	1218.0	66.5	not_in_net
AC011530.1	45779735.6	45779818.8	83.2	116.0	85.0	not_in_net
AC011604.2	21090107.0	21090245.0	138.0	138.0	138.0	not_in_net
AC011841.1	99351.0	100359.0	1008.0	1008.0	1008.0	not_in_net
AC012184.2	70340847.2	70341039.0	191.8	595.0	102.0	not_in_net
AC012213.5	103398658.0	103400410.0	1752.0	1752.0	1752.0	not_in_net
AC012254.2	47132520.5	47132663.25	142.75	597.0	86.0	not_in_net
AC012309.1	37163232.0	37163329.5	97.5	313.0	43.0	not_in_net
AC012314.1	54106956.0	54107026.0	70.0	70.0	70.0	not_in_net
AC012314.10	54131555.0	54131896.0	341.0	396.0	341.0	not_in_net
AC012314.11	54106956.0	54107026.0	70.0	70.0	70.0	not_in_net
AC012314.12	54106956.0	54107026.0	70.0	70.0	70.0	not_in_net
AC012314.14	54106956.0	54107026.0	70.0	70.0	70.0	not_in_net
AC012314.15	54160649.0	54160789.0	140.0	140.0	140.0	not_in_net
AC012314.17	54131555.0	54131896.0	341.0	396.0	341.0	not_in_net
AC012314.18	54106956.0	54107026.0	70.0	70.0	70.0	not_in_net
AC012314.19	54131555.0	54131896.0	341.0	396.0	341.0	not_in_net
AC012314.20	54160649.0	54160789.0	140.0	140.0	140.0	not_in_net
AC012314.21	54131555.0	54131896.0	341.0	396.0	341.0	not_in_net
AC012314.22	54106956.0	54107026.0	70.0	70.0	70.0	not_in_net
AC012314.23	54131555.0	54131896.0	341.0	396.0	341.0	not_in_net
AC012314.24	54160649.0	54160789.0	140.0	140.0	140.0	not_in_net
AC012314.25	54160649.0	54160789.0	140.0	140.0	140.0	not_in_net
AC012314.26	54106956.0	54107026.0	70.0	70.0	70.0	not_in_net
AC012314.4	54131555.0	54131896.0	341.0	396.0	341.0	not_in_net
AC012314.5	54106956.0	54107026.0	70.0	70.0	70.0	not_in_net
AC012314.6	54131555.0	54131896.0	341.0	396.0	341.0	not_in_net
AC012314.7	54160649.0	54160789.0	140.0	140.0	140.0	not_in_net
AC012314.8	54131555.0	54131896.0	341.0	396.0	341.0	not_in_net
AC012314.9	54160649.0	54160789.0	140.0	140.0	140.0	not_in_net
AC012531.3	54034493.0	54034888.0	395.0	395.0	395.0	not_in_net
AC012651.1	42397525.23170732	42397671.146341465	145.91463414634146	878.0	104.0	not_in_net
AC013271.1	109934835.94444445	109935046.3888889	210.44444444444446	1341.0	92.0	not_in_net
AC013470.2	12540924.0	12541270.0	346.0	346.0	346.0	not_in_net
AC013489.1	88482714.8	88483009.0	294.2	599.0	186.0	not_in_net
AC013717.1	44297539.7	44297712.7	173.0	440.0	139.5	not_in_net
AC015688.4	27634160.333333332	27634268.166666668	107.83333333333333	205.0	91.0	not_in_net
AC015802.6	76565581.5	76567533.5	1952.0	2561.0	1952.0	not_in_net
AC015813.2	57996815.25	57997203.0	387.75	823.0	290.5	not_in_net
AC015871.1	79898863.66666667	79898930.0	66.33333333333333	90.0	83.0	not_in_net
AC017083.3	68141623.5	68141758.875	135.375	207.0	122.5	not_in_net
AC018362.3	42517940.0	42518355.25	415.25	1354.0	121.5	not_in_net
AC018512.1	43781931.2	43782063.333333336	132.13333333333333	606.0	85.0	not_in_net
AC018523.2	14501752.666666666	14501865.166666666	112.5	229.0	100.5	not_in_net
AC018630.2	10855870.75	10855989.5	118.75	322.0	68.0	not_in_net
AC018709.1	186426546.0	186426949.0	403.0	403.0	403.0	not_in_net
AC018755.2	51612091.0	51612230.0	139.0	139.0	139.0	not_in_net
AC019117.3	17458584.0	17459147.5	563.5	1082.0	563.5	not_in_net
AC019257.8	1900711.3220338982	1900918.6101694915	207.28813559322035	1878.0	122.0	not_in_net
AC020636.2	150892859.83333334	150892959.1111111	99.27777777777777	212.0	74.0	not_in_net
AC020907.6	35123458.0	35124297.0	839.0	839.0	839.0	not_in_net
AC020909.1	50428337.0	50428409.0	72.0	72.0	72.0	not_in_net
AC020915.4	58291424.0	58291886.375	462.375	1483.0	212.0	not_in_net
AC020922.1	55353647.0	55353880.28571428	233.28571428571428	673.0	167.0	not_in_net
AC021072.1	53242442.0	53242723.0	281.0	281.0	281.0	not_in_net
AC021087.5	273932.5625	274090.0625	157.5	538.0	118.5	not_in_net
AC021097.2	151207837.0	151207870.0	33.0	33.0	33.0	not_in_net
AC021660.3	98541728.5	98541917.5	189.0	309.0	189.0	not_in_net
AC022137.3	53455417.0	53456096.5	679.5	930.0	679.5	not_in_net
AC022335.1	21135104.785714287	21135215.785714287	111.0	149.0	113.0	not_in_net
AC022384.1	10277222.5	10277498.2	275.7	884.0	149.0	not_in_net
AC022400.5	73799114.85714285	73799611.85714285	497.0	1374.0	237.0	not_in_net
AC022414.1	77426555.0	77427124.0	569.0	569.0	569.0	not_in_net
AC022415.2	12095746.4	12096436.4	690.0	2079.0	139.0	not_in_net
AC022826.2	73722243.66666667	73722328.66666667	85.0	122.0	68.0	not_in_net
AC023055.1	55804975.0	55805130.25	155.25	375.0	69.5	not_in_net
AC023491.2	10598.0	11287.0	689.0	689.0	689.0	not_in_net
AC024558.2	126571779.0	126572031.0	252.0	252.0	252.0	not_in_net
AC024592.3	5868318.0	5869153.5	835.5	1566.0	835.5	not_in_net
AC024940.7	31111657.0	31111780.0	123.0	123.0	123.0	not_in_net
AC025165.3	57788921.5	57789216.0	294.5	1377.0	99.0	not_in_net
AC025165.6	57622495.578947365	57622601.578947365	106.0	265.0	102.0	not_in_net
AC025263.2	69840305.5	69840463.0	157.5	232.0	157.5	not_in_net
AC025283.2	3477851.5	3477943.5	92.0	105.0	92.0	not_in_net
AC025287.4	75660227.0	75660253.0	26.0	26.0	26.0	not_in_net
AC026316.4	170784067.0	170784287.0	220.0	397.0	220.0	not_in_net
AC026369.8	71456.0	73513.0	2057.0	2057.0	2057.0	not_in_net
AC026464.1	69335896.75	69336014.5	117.75	196.0	114.0	not_in_net
AC026464.6	69328644.0	69329035.0	391.0	391.0	391.0	not_in_net
AC026740.3	747352.0	748118.0	766.0	766.0	766.0	not_in_net
AC026786.1	133202163.0	133202369.0	206.0	206.0	206.0	not_in_net
AC026954.2	7313900.454545454	7314022.545454546	122.0909090909091	207.0	109.0	not_in_net
AC026954.6	7316937.454545454	7317059.545454546	122.0909090909091	207.0	109.0	not_in_net
AC027644.4	66792856.55555555	66793225.88888889	369.3333333333333	2303.0	132.0	not_in_net
AC027796.3	3592115.375	3592525.125	409.75	1250.0	238.5	not_in_net
AC034228.4	131910217.0	131910299.66666667	82.66666666666667	128.0	87.0	not_in_net
AC036214.3	79938558.5	79938741.5	183.0	288.0	183.0	not_in_net
AC037459.1	22600954.5	22601163.0	208.5	369.0	208.5	not_in_net
AC037482.2	41054625.0	41055009.0	384.0	427.0	384.0	not_in_net
AC037482.3	41085076.0	41085542.0	466.0	466.0	466.0	not_in_net
AC040162.1	67933896.75	67933980.75	84.0	151.0	88.0	not_in_net
AC046185.1	63712862.09090909	63713039.63636363	177.54545454545453	906.0	104.0	not_in_net
AC048338.1	122214823.0	122215101.0	278.0	798.0	109.0	not_in_net
AC048338.2	122217941.375	122218288.625	347.25	915.0	172.5	not_in_net
AC053503.7	219498190.0	219498244.0	54.0	54.0	54.0	not_in_net
AC055811.2	17211098.0	17211226.14285714	128.14285714285714	449.0	105.0	not_in_net
AC055839.2	5499735.0	5500273.0	538.0	565.0	538.0	not_in_net
AC067752.1	62670302.0	62670374.0	72.0	72.0	72.0	not_in_net
AC067968.1	44081271.5	44081742.0	470.5	1604.0	109.0	not_in_net
AC068234.1	47337411.0	47337515.75	104.75	160.0	120.5	not_in_net
AC068547.1	151828133.2	151828301.1	167.9	673.0	102.0	not_in_net
AC068580.4	1738110.6666666667	1739044.0	933.3333333333334	2215.0	458.0	not_in_net
AC068775.1	10412312.0	10412571.0	259.0	259.0	259.0	not_in_net
AC068831.7	90978370.28571428	90978670.66666667	300.3809523809524	2930.0	136.0	not_in_net
AC068896.1	124692373.4	124692935.8	562.4	1713.0	251.0	not_in_net
AC068946.1	219144797.6	219144958.6	161.0	482.0	117.0	not_in_net
AC068946.2	219213659.52941176	219213922.0	262.47058823529414	2321.0	109.0	not_in_net
