gene	average_utr_length	type
CCNDBP1	224.54285714285714	other
RTP5	941.0	other
TBL1XR1	1491.6666666666667	tr
NOC4L	39.0	other
AC131097.2	208.33333333333334	other
CALD1	554.8	other
C8orf33	1872.0	other
ECE1	849.8	other
C1QB	150.0	other
SQLE	244.33333333333334	other
ECM1	166.33333333333334	other
DPCR1	779.6666666666666	other
BICD1	958.1818181818181	other
BPIFA3	140.0	other
TBX5	1116.6666666666667	other
ZNF683	14.666666666666666	other
KCND2	2472.0	other
FOXL2	1367.0	other
PDE12	4177.5	other
IQCG	373.0	other
COPS8	484.55555555555554	other
FOXL2NB	1197.6666666666667	other
CALM2	384.3333333333333	other
MKKS	2149.5	other
NACC2	4978.0	other
FGB	154.33333333333334	other
MUC21	1285.5833333333333	other
ABTB1	228.2941176470588	other
MOG	915.6236559139785	other
AL034430.1	214.0	other
SKAP2	1301.0	other
PKDREJ	897.0	other
NAGA	960.6666666666666	other
TMEM250	1295.75	other
C6orf15	157.0	other
CDK2	450.25	tr
ADGRG6	1303.3333333333333	other
CDSN	924.3333333333334	other
PSORS1C2	415.5	other
TBX3	1585.5	other
PSORS1C1	129.0	other
ADCY5	631.0	other
PCM1	569.8333333333334	other
WHAMM	2571.0	other
NEK1	488.25	other
LIN28A	2004.6666666666667	other
AC073283.3	120.71428571428571	other
WBP2NL	254.5	other
CSTF3	295.85714285714283	other
STPG4	360.6666666666667	other
RPL35A	176.22222222222223	other
CHKA	499.75	other
EN1	766.0	other
RPAP3	892.6666666666666	other
CLDN19	1844.0	other
COLEC10	390.0	other
HLA-E	728.5	other
TTC7A	255.89743589743588	other
TRAF3	1817.5714285714287	other
MCL1	1978.0	other
SPG7	253.37698412698413	other
TCP11L1	305.6923076923077	other
ZFP57	58.46666666666667	other
ZNF860	649.0	other
P3H1	304.2	other
MRPS22	107.33333333333333	other
ADAMTSL4	558.25	other
CD164	1926.1666666666667	other
ABCC5	428.7567567567568	other
TCIRG1	76.72727272727273	other
AVPR1A	2364.0	other
OSBPL10	3562.0	other
EZR	1169.3333333333333	other
HACD2	1838.5	other
CCDC63	57.666666666666664	other
PMEL	91.66666666666667	other
PRKRIP1	1182.3333333333333	other
PRR23B	832.0	other
EPHB2	1952.6	other
PRR23C	1729.0	other
GALNT9	490.25	other
COPB2	208.0	other
ZNF433	124.2	other
LHX3	1073.3333333333333	other
MGLL	1605.0	other
PRAMEF27	331.0	other
TTC38	214.0	other
MARCO	139.0	other
AC008770.1	71.5	other
HNRNPCL3	22.0	other
PRAMEF25	331.0	other
ENSA	571.0	other
MYLK	473.0	other
SRCIN1	1552.75	other
STK25	907.625	other
FBRSL1	1457.0	other
PISD	600.6363636363636	other
C11orf80	104.13636363636364	other
AHCYL2	1358.0	other
MCFD2	1890.3	other
TSPAN19	107.125	other
WASHC5	352.5	other
DYNC2H1	200.0909090909091	other
ADGRL2	829.8	other
LRCOL1	196.6	other
PSPH	327.1666666666667	other
FGA	477.3333333333333	other
TNXB	207.8695652173913	other
OLFML3	484.0	other
GOLPH3L	2095.0	other
ARF4	524.4285714285714	other
POLR1E	205.27272727272728	other
HORMAD1	494.6666666666667	other
LRRIQ1	199.0	other
NSMCE2	205.0	other
LMLN	1808.0	other
EIF4ENIF1	327.625	other
CHIA	122.92307692307692	other
NAA11	369.0	other
TSR2	936.0	other
CYP21A2	382.76190476190476	other
RCE1	269.1111111111111	other
FGD1	654.0	other
RNF39	842.875	other
SIVA1	208.85714285714286	other
SLX4IP	1671.0	other
PPP1R11	1026.0	other
HHIPL1	2645.0	other
CYP4A11	351.6	other
TAT	2483.0	other
MAL2	603.75	other
LACRT	97.0	other
BRDT	148.0	other
FBXO46	1054.0	other
CUL2	593.0833333333334	other
N6AMT1	2251.5	other
TEDC1	259.09090909090907	other
TSPAN12	420.3333333333333	other
GBE1	590.0	other
BDP1	996.2	tr
BBS7	536.75	other
HDAC7	177.5625	other
JAG1	434.4	other
HMBS	132.78125	other
CTSS	559.5	other
DRG1	141.28571428571428	other
SESN2	1688.0	other
DPY19L2	172.3684210526316	other
DCD	96.5	other
C1QL2	558.0	other
SYT6	707.15	other
FAXDC2	228.13333333333333	other
PIFO	960.0	other
MED18	427.0	other
DPF1	401.25	other
KBTBD12	3387.25	other
SFI1	135.04	other
SCN8A	841.2631578947369	other
CTSK	590.0	other
ALX1	308.0	other
RXYLT1	289.7142857142857	other
TMC1	272.65	other
BHMG1	415.0	other
FGG	212.75	other
AKT1	590.5	other
MAML1	2408.0	other
CNOT8	348.11764705882354	other
HEYL	2353.0	other
LTC4S	106.16666666666667	other
AC098484.3	148.77777777777777	other
FARP2	949.2857142857143	other
TMEM269	387.25	other
SVBP	359.0	other
HTR5A	1261.0	other
C1orf50	4093.0	other
ARNT	496.38461538461536	tr
ERMAP	1758.0	other
P2RX2	415.5	other
MYOD1	622.0	tr
PRR13	364.1818181818182	other
HPCAL4	3887.0	other
DKK1	849.0	other
C11orf16	178.8	other
MARVELD3	756.2	other
RASSF9	4004.0	other
NTS	509.5	other
PHLPP2	1335.625	other
INSIG1	994.2	other
AL928654.3	109.4	other
AKIP1	403.8888888888889	other
CYP4X1	576.0	other
SEC61A1	1403.0	other
BPIFA1	101.5	other
MAP3K12	303.3	other
CRIP1	92.0	other
EN2	2143.0	other
SYNE1	451.68	other
CYP4Z1	384.0	other
TPH1	787.8	other
STEAP3	1133.6	other
CYP4A22	526.8333333333334	other
EEFSEC	463.0	other
CNPY1	672.5	other
RUVBL1	290.3333333333333	other
NUP54	176.10714285714286	other
MUCL1	147.0	other
PCBP2	471.53846153846155	other
SERGEF	103.51428571428572	other
HLA-F	148.0	other
FBXL18	533.375	other
NOV	1220.0	other
RBM33	1348.2307692307693	other
IRS2	3605.0	other
TBXAS1	185.9047619047619	other
C2orf76	135.75	other
HTR3D	308.3333333333333	other
DET1	398.2142857142857	other
ELK3	919.5	other
MRPL46	266.1666666666667	other
RCN3	313.0	other
TFDP1	312.57142857142856	tr
MGAT4C	4258.666666666667	other
MRPS11	877.0	other
SLC48A1	642.5	other
NUP107	216.4	other
CRABP1	164.33333333333334	other
RAPGEF3	325.64864864864865	other
ATP10A	397.0	other
SURF1	132.0	other
MED13L	2700.6666666666665	other
BMP8B	3236.0	other
SKOR1	715.25	other
SIX5	987.6	tr
SCP2	642.2727272727273	other
LRAT	2939.5	other
CLDN7	324.75	other
IFNAR1	4312.0	other
CYP46A1	539.5	other
PPIE	239.93548387096774	other
SURF2	29.0	other
DMWD	599.5	other
PHACTR4	358.82758620689657	other
CLMN	2459.5	other
RBM46	849.5	other
HTR3C	318.0	other
BRK1	894.0	other
DMPK	313.82608695652175	other
ELP5	350.6666666666667	other
GK2	186.0	other
PPIL6	860.7142857142857	other
VHL	2185.0	other
KCNC1	1355.909090909091	other
HTR3E	301.0	other
LY6G5C	254.875	other
TEX46	65.66666666666667	other
ADAM12	2841.0	other
HOXA1	1022.0	other
ATF1	346.5	tr
DENND6A	1392.5	other
RBP2	231.0	tr
TRPC3	266.5833333333333	other
OXCT2	178.0	other
AC107871.1	866.5	other
RCN2	1109.1666666666667	other
C6orf47	764.2857142857143	other
RBP1	475.14285714285717	other
CALML4	1432.3333333333333	other
HIPK2	3951.0	other
PRR3	1227.0	other
P2RY11	633.0	other
KBTBD8	1639.0	other
PPAN	115.33333333333333	other
ING3	544.0909090909091	other
EPHX4	249.0	other
NMNAT3	1101.6666666666667	other
TRIM33	1649.3333333333333	other
SMPD2	13.0	other
PIAS1	620.3846153846154	tr
GNL1	4694.0	other
RCC1	902.75	other
SRGAP1	8605.0	other
AC120057.2	228.0	other
AC003688.1	62.666666666666664	other
EIF3G	81.42857142857143	other
CTDNEP1	265.6	other
MAP1LC3B2	127.0	other
FILIP1L	215.16666666666666	other
LTN1	1117.857142857143	other
EPOP	1652.0	other
IL17RB	491.0	other
BTBD8	401.93333333333334	other
HOMER2	2947.0	other
CCT6A	903.0	other
ZCCHC14	1849.75	other
CMSS1	409.27272727272725	other
CLN6	192.64285714285714	other
ENDOU	823.3333333333334	other
C12orf49	1585.1666666666667	other
TMPRSS12	1348.5	other
PPAN-P2RY11	925.0	other
FAM103A1	989.0	other
CTXND2	809.0	other
IREB2	387.64	other
BTBD1	328.875	other
APOL4	685.4285714285714	other
FABP3	155.25	other
GABARAP	335.3333333333333	other
L3MBTL2	301.2	tr
MBL2	2756.0	other
GPANK1	358.6857142857143	other
MAP9	811.0	other
RSPH3	1890.0	other
GNL3L	314.0	other
C15orf40	946.4615384615385	other
AC011530.1	83.2	other
BCAS2	572.0	other
EGFL8	323.57142857142856	other
TAGAP	679.875	other
QSOX2	2394.0	other
SETDB1	180.28571428571428	tr
FAM109B	1367.0	other
PLK2	597.5	other
MLLT6	2049.3333333333335	other
ENPP2	204.71428571428572	other
MYL2	207.5	other
DENND2C	1808.0	other
CSNK2B	358.2631578947368	other
TESPA1	269.63157894736844	other
BPIFB1	110.0	other
CCDC187	907.0	other
AGPAT1	1063.0	other
ACTB	362.55555555555554	other
FAM13A	584.28	other
CTNNBIP1	843.5	other
CHADL	191.5	other
NPY2R	1991.0	other
CDC42BPB	734.5	other
ALDH1A1	308.5	other
LUZP1	3399.0	other
PDZK1IP1	377.0	other
IRAK2	1514.0	other
ATP4B	569.0	other
GPD1L	665.0	other
METTL7A	1144.6666666666667	other
CDK17	850.0	other
KDM1A	318.0	tr
BBS4	121.97260273972603	other
HOXA2	371.0	other
CAV1	1017.1111111111111	other
KCNMB2	654.25	other
TRIM31	638.0	other
MYO7B	309.3333333333333	other
POLE	179.17391304347825	other
HOXA6	261.0	other
AMN	511.0	other
ERAS	177.5	other
HOXA3	1452.0	other
FGD4	245.86666666666667	other
PCSK1N	165.0	other
ACTR8	644.3333333333334	other
CERS2	892.0	other
DHRS7C	46.666666666666664	other
HOXA4	524.8	other
SMDT1	376.0	other
AC117457.1	362.0	other
HOXA5	782.0	other
SUCLG2	641.5	other
FIGNL2	2584.5	other
LY6G5B	1172.6666666666667	other
AC004233.2	429.0	other
CUX2	2228.0	other
PPT2	329.6363636363636	other
HOXA7	1192.0	other
CEP290	271.85714285714283	other
SHH	702.2	other
SELENOK	454.25	other
HLTF	877.1666666666666	other
SMIM22	105.625	other
GTSE1	679.0	other
FAM109A	1828.3333333333333	other
LSM5	317.2307692307692	other
FAM181B	2507.0	other
ALKBH4	800.6666666666666	other
AGBL3	191.0	other
ORAI2	5486.8	other
CCDC14	382.9166666666667	other
NOSIP	154.88888888888889	other
SEPT12	119.61538461538461	other
CYP2D6	107.97619047619048	other
SYNE3	2979.75	other
ZMAT3	4535.0	other
RSAD1	222.16666666666666	other
FAM19A1	1119.0	other
TMEM50B	495.5	other
TIMM17B	306.0	other
HNRNPCL2	22.0	other
C7orf49	604.125	other
STRIP2	1565.0	other
SCFD1	85.13157894736842	other
ANXA9	311.0	other
TRIM27	1128.6666666666667	other
B3GALT4	268.0	other
GNAI2	293.76190476190476	other
TMEM140	1215.0	other
MINDY1	344.57142857142856	other
IFNGR2	251.0	other
C15orf38-AP3S2	1206.0	other
ITIH6	995.0	other
AMPD1	124.33333333333333	other
DBI	160.44444444444446	other
GLRX5	1021.0	other
PQBP1	56.0	other
FAM19A4	1375.0	other
PRRG2	286.6666666666667	other
AP3S2	319.7916666666667	other
C12orf50	251.5	other
CADM2	3848.0	other
SMKR1	490.0	other
MET	840.0	other
MCCC2	357.625	other
C12orf66	1740.6666666666667	other
NRAS	1207.3333333333333	other
C12orf29	365.55555555555554	other
GRK1	2307.0	other
SH2B3	2109.5	other
CHN1	219.92307692307693	other
DHDDS	617.7142857142857	other
PRUNE1	1376.4	other
NDUFA6	472.0625	other
MKRN2OS	276.6666666666667	other
TSEN2	575.625	other
CLCN3	2161.6	other
ARPIN	2665.0	other
ATXN2	438.2857142857143	other
VRTN	1115.0	other
C12orf56	1582.5	other
GAS6	305.0	other
B3GNT7	2238.0	other
TAL1	3428.0	tr
HYKK	893.0	other
ANKLE2	380.14285714285717	other
PRRT1	862.0	other
SYNDIG1L	1640.5	other
DDIAS	785.3333333333334	other
TMEM255B	2626.5	other
SERINC2	478.75	other
ANKRD33	271.6	other
BNIPL	332.85714285714283	other
ZNF691	661.6666666666666	other
STIL	874.5	other
PXMP2	191.83333333333334	other
HTR1D	1190.0	other
RAB30	2782.25	other
COL4A2	787.0	other
NMNAT1	890.4	other
PGAM5	761.0	other
DNAJB8	105.5	other
DNLZ	1342.5	other
GLP2R	443.54545454545456	other
PPP6R2	336.85714285714283	other
CARD9	146.75	other
GATA2	1231.5	tr
CLDN9	488.0	other
LZIC	605.75	other
PSTPIP1	118.75862068965517	other
COL4A1	1140.5	other
CPED1	360.85714285714283	other
GPSM1	1088.1666666666667	other
C1orf56	961.0	other
MLLT11	999.0	other
MKRN2	693.3333333333334	other
GHRL	122.4	other
CSDE1	976.875	other
CDC42SE1	1184.8333333333333	other
MAGED2	70.18181818181819	other
RNF32	418.61538461538464	other
SLC2A1	463.625	other
PRCP	970.0	other
TINAGL1	703.3333333333334	other
GABPB2	3849.5	other
RAF1	203.7	other
FBXO27	791.25	other
C7orf43	296.39130434782606	other
TOMM5	503.1111111111111	other
PRAMEF26	331.0	other
SLC25A51	28.5	other
FBXO10	692.6	other
PRAMEF9	331.0	other
RPN1	207.25	other
HPF1	112.0	other
PRAMEF13	284.5	other
SEMA6C	679.4	other
PRAMEF18	626.0	other
KMT5B	531.2727272727273	other
TATDN2	835.2	other
PRAMEF5	232.25	other
LBHD2	229.0	other
DCAF10	3986.5	other
ZNF710	808.6666666666666	other
LAMTOR4	274.375	other
LMBR1	389.22641509433964	other
PODN	507.25	other
SEC13	288.2	other
SHB	686.0	other
PRAMEF14	161.0	other
SLC35E3	8461.5	other
CASP10	907.9230769230769	other
PRAMEF15	333.0	other
CCHCR1	144.2972972972973	other
TBC1D23	1057.6666666666667	other
TRMT10B	376.94117647058823	other
COASY	221.66666666666666	other
ANTXR2	635.75	other
PRAMEF8	177.0	other
FAM183A	95.8	other
G2E3	826.6	other
HLA-B	171.1891891891892	other
IFNAR2	519.9230769230769	other
FYTTD1	463.25	other
LTBP3	148.82051282051282	other
FUBP1	245.25	other
INF2	895.2857142857143	other
YPEL2	2361.5	other
MAGI3	1063.6	other
CRIPT	1514.0	other
UQCRH	160.2	other
XKR8	895.0	other
NEU4	503.42857142857144	other
RAD54L	116.3529411764706	other
SECISBP2	826.3333333333334	other
FAM186A	467.8	other
CC2D1B	1062.5	other
DUSP14	626.3333333333334	other
ZBTB2	1403.0	other
CMC1	1212.0	other
LTBP1	872.8	other
DDX54	446.8888888888889	other
PAPOLG	418.0344827586207	other
PHOSPHO2	8.5	other
KCNC4	3481.6666666666665	other
NME9	458.125	other
ZNF823	295.0	other
CHCHD6	193.71428571428572	other
OPCML	4204.0	other
CAMSAP1	1788.6666666666667	other
MYBPC1	124.0909090909091	other
AK5	568.0	other
SYT5	795.2857142857143	other
GALNT6	644.5714285714286	other
SLC10A7	866.5	other
OLIG1	780.0	other
MS4A18	217.0	other
PPP1R2	500.14285714285717	other
GSTA5	148.5	other
SULT1C2	462.55555555555554	other
NEUROG2	1140.0	other
AHCYL1	1607.3333333333333	other
GABRB1	175.5	other
KMT5A	587.0	other
MPP1	165.5	other
ZC3H12C	4133.333333333333	other
GNAS	189.25	other
B3GNT10	239.0	other
PDS5B	1323.0	other
VPS13D	716.8235294117648	other
CD72	253.5	other
KMT2C	461.68	other
ZNRD1	211.0	other
TMEM44	335.8	other
CELA1	133.0	other
UBD	280.85714285714283	other
GFAP	598.5882352941177	other
ALDH3B2	736.3333333333334	other
ABO	489.0	other
MCM5	402.5	other
PDE5A	2200.25	other
DNASE1L2	291.4	other
CCDC129	478.0	other
TRIM56	8386.0	other
PTPN11	1141.75	other
FOSL2	4863.0	tr
CEP135	1040.0	other
CNR1	2430.25	other
OTUD7A	2658.25	other
HLA-DPB1	399.9736842105263	other
WISP3	395.3	other
COMMD5	454.6666666666667	other
GPBP1L1	950.0	other
NCOA7	2127.2	other
AC092111.3	108.5	other
SULF1	1343.7142857142858	other
MUC12	226.0	other
HDAC10	118.5	other
SGK3	1529.3333333333333	other
TCTEX1D2	94.625	other
SLC35G2	190.0	other
DHX37	1044.0	other
MAP1S	116.44444444444444	other
SESN1	1102.6666666666667	other
IRAK4	217.13793103448276	other
PURG	843.5	other
AC116565.1	1024.0	other
PRKAR1B	870.0	other
SMARCD1	793.6666666666666	other
CXorf49B	84.0	other
TTC22	898.6666666666666	other
ZNF222	109.33333333333333	other
CDK18	194.47368421052633	other
RPL36	99.4	other
SLC26A2	2916.5	other
FBLN1	283.45454545454544	other
MAST3	685.3333333333334	other
LINGO1	694.5	other
C4orf17	339.7142857142857	other
SMAD6	423.1666666666667	other
IFT57	318.57142857142856	other
TNF	798.0	other
ZNF540	579.2	other
LLPH	3908.0	other
CNTN2	472.037037037037	other
IFT22	526.0	other
SPARCL1	407.0	other
RNF139	269.0	other
GPR150	561.0	other
OLIG3	1149.0	other
TMX4	785.1428571428571	other
SNX4	159.46666666666667	other
SOX6	1709.375	tr
ATXN7	1817.6	other
SH2D5	1161.0	other
TRMT12	369.0	other
KMT2E	275.07142857142856	other
EXOC8	2814.0	other
SNX17	153.3421052631579	other
PALM3	239.0	other
PEX1	202.6	other
ADH1B	2027.6666666666667	other
MOK	205.33333333333334	other
AL110118.2	96.0	other
TPD52L1	545.9090909090909	other
TRAF3IP1	777.0	other
SZRD1	1365.4285714285713	other
SNX3	428.5	other
XRN2	488.0	other
FAM208A	972.75	other
PRSS58	76.5	other
BX072566.1	162.33333333333334	other
AC012314.16	70.0	other
VSTM1	116.76595744680851	other
KLHDC7B	1070.0	other
PMF1-BGLAP	161.33333333333334	other
UBE2U	142.0	other
PPM1L	3153.25	other
C12orf75	364.0	other
RXFP4	114.0	other
FAT1	414.6	other
RIMKLB	930.7777777777778	other
CHST11	2200.5	other
IQCJ-SCHIP1	484.6666666666667	other
ABHD18	786.4285714285714	other
RUSC1	365.6	other
GLB1L3	243.66666666666666	other
ZBTB22	595.0	other
SEC11A	311.1	other
HLA-DOA	2658.5714285714284	other
HIGD1A	575.5	other
NMB	192.0	other
FAM149A	289.72727272727275	other
KLHL40	550.0	other
MCRIP1	361.9375	other
FAM71B	600.0	other
DPM3	70.0	other
MED7	802.0	other
DCST1	90.8	other
MYC	356.25	tr
GCLM	2869.5	other
TRMT61A	2251.0	other
PTX3	648.0	other
PMVK	394.0	other
RNF133	75.0	other
AGA	937.0	other
GPR87	65.0	other
IL6R	2890.0	other
PILRA	158.2	other
CDCP2	524.0	other
TESC	141.33333333333334	other
CFAP97D2	422.0	other
FBXW8	1719.0	other
FRMD4B	1461.5	other
TRIM17	227.5	other
EPAS1	2042.0	tr
SLC9A4	1283.0	other
GPATCH8	231.88	other
APOBEC3H	270.0	other
DAZ1	551.6666666666666	other
MYOG	777.0	other
CRYBG3	1648.0	other
KIZ	271.0	other
PKM	316.0	other
ANKRD40	2806.0	other
SFRP1	3205.0	other
CHST7	339.0	other
CNTROB	177.2	other
QPRT	699.5	other
ELMOD2	1921.0	other
OR4K15	93.0	other
LILRB4	653.3030303030303	other
PRY	491.3333333333333	other
CPA6	184.0	other
GOLGA6L9	350.0	other
CFAP161	641.0	other
EFHC1	431.1864406779661	other
CLGN	768.0	other
GKN2	563.5	other
SH3BP5	468.8888888888889	other
COX4I1	236.0	other
PPP1R18	878.8888888888889	other
SIM2	816.0	other
STK4	1965.0	other
OLA1	997.75	other
PCDHGA7	1225.5	other
PCDHGA9	932.0	other
PCDHGB1	1805.0	other
SERBP1	2181.0	other
TANC1	1646.0	other
NRCAM	1767.8	other
GTF3A	94.15384615384616	other
ZACN	196.1818181818182	other
GALR2	109.0	other
BICRA	833.5	other
GPT	171.5	other
PCDHGA3	837.8	other
SYN3	1139.0	other
SLC35D1	5007.0	other
PDE9A	215.0	other
NEPRO	342.2456140350877	other
CAMKV	351.1	other
PARP1	223.5	other
DEFB106A	99.0	other
VGF	415.6666666666667	other
BHMT2	315.6666666666667	other
RAET1G	148.25	other
ATP2C1	696.0	other
SNRPN	144.625	other
LEFTY2	839.0	other
RACGAP1	358.75	other
GJB5	359.0	other
NAA15	2887.6666666666665	other
PSMD9	385.0	other
LIN54	610.88	other
MAEL	356.3333333333333	other
PRSS40B	1006.0	other
ST6GALNAC2	165.27272727272728	other
NOCT	447.3333333333333	other
MTURN	3614.6666666666665	other
DLGAP4	901.25	other
SLC6A4	1823.8	other
PINX1	282.1666666666667	other
CAPN2	1159.0	other
CFAP20	436.0	other
POLE4	705.0	other
CFHR3	454.14285714285717	other
TIMMDC1	183.05555555555554	other
LOX	783.6	other
KIR3DL3	350.07142857142856	other
SH2D1B	2013.0	other
CARD6	496.0	other
CFAP61	209.25	other
TNFSF8	910.5	other
PI16	233.5	other
CCDC33	404.1666666666667	other
EIF4EBP3	315.0	other
PARN	149.5	other
TBCCD1	362.0	other
EFS	738.0	other
OR51M1	1468.5	other
AFAP1L1	930.5	other
ARRDC4	2650.0	other
PCP4L1	968.0	other
PRMT7	186.88235294117646	other
CORO1B	404.84615384615387	other
AFF3	2162.6	other
PDLIM4	730.0	other
PCDHB10	686.0	other
NLRP9	479.0	other
